"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUL2023.CR1","22247","meteo"
"TIMESTAMP","RECORD","SWIN_1_1_1","SWOUT_1_1_1","LWIN_1_1_1","LWOUT_1_1_1","PPFD_1_1_1","PPFD_2_1_1","RN_1_1_1","RG_1_1_1","SWDIF_1_1_1","TC_1_1_1","PA_1_1_1","P_RAIN_8_19_1_1_1","VIN_1_1_1","T_CRN4_1_1_1","TA_1_1_1","TA_1_2_1","TA_1_3_1","TA_2_1_1_4_1","TA_2_1_1_5_1","TA_1_6_1","RH_1_1_1","RH_1_2_1","RH_1_3_1","RH_1_4_1","RH_1_5_1","RH_1_6_1","WS_1_1_1","WD_1_1_1","WS_1_2_1","WS_1_3_1","WS_1_4_1","WD_1_4_1","H2O_1_2_1","H2O_99_99_1_3_1","H2O_1_4_1","H2O_1_5_1","H2O_1_6_1","H2O_1_7_1","CO2_1_2_1","CO2_1_3_1","CO2_1_4_1","CO2_1_5_1","CO2_1_6_1","CO2_1_7_1"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","m/s","Deg","m/s","m/s","m/s","Deg","","","","","","","","","","","",""
"","","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Tot:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","WVc:","WVc:","Avg:","Avg:","WVc:","WVc:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:"
"2023-08-01 02:00:00",28,-1.303381,0.9614772,-43.95472,-1.594182,-0.0142207,0,-44.6254,1.308305,1.700796,23.87571,1000.888,0,49.93247,25.08784,25.86945,25.95762,25.55688,24.10466,24.20762,24.13907,93.97724,92.04606,93.6968,96.12769,95.60238,99.26478,1.020167,265.6941,0.18078,0.4623,0.00276,245.7338,-4.988396,-5.356997,-5.390853,-5.660614,-5.624574,-5.518088,370.5598,387.058,398.9693,433.5631,442.5392,424.8464
"2023-08-01 02:30:00",29,0.008784405,0.8476803,-20.87391,-1.108752,0,0,-20.60405,1.109215,1.706484,24.22611,1000.933,0,49.86557,25.20169,25.89078,26.02815,25.67917,24.31541,24.13225,24.06683,94.14788,91.95107,93.57224,96.60664,95.97183,99.2625,1.123,213.3598,0.1863,0.18561,0,0,-5.057201,-5.350444,-5.393038,-5.538839,-5.621843,-5.654061,370.4778,382.1092,384.9215,427.3174,447.9181,472.744
"2023-08-01 03:00:00",30,-1.342935,0.9024805,-33.45636,-2.316841,0.0142207,-0.0142207,-33.38493,1.493174,1.695108,24.1405,1000.828,0,49.79867,25.42685,25.87883,26.10694,25.68145,24.30688,24.21956,24.06001,95.12997,92.24345,93.2844,96.51307,96.35636,99.26421,1.1315,167.7334,0.05037,0.3933,0.00069,245.7338,-4.992764,-5.23413,-5.307303,-5.370102,-5.631672,-5.547576,364.041,374.7918,390.5802,408.2457,459.372,460.9147
"2023-08-01 03:30:00",31,-1.237577,1.201877,-39.34313,-0.795188,0,0,-40.98739,1.419226,1.709329,24.10779,1000.792,0,49.73882,24.95759,25.70563,25.77275,25.39647,24.18771,24.08048,24.02388,95.94083,93.79408,95.14277,96.51791,96.27587,99.27189,0.6638333,48.25163,0.37812,0.7714199,0.00276,141.5427,-4.837133,-5.264164,-5.228123,-5.477133,-5.504983,-5.488055,367.6996,379.8635,379.3106,426.6621,430.8874,415.6041
"2023-08-01 04:00:00",32,-1.242055,1.745984,-41.71555,-1.8199,0.0142207,0,-42.88369,1.103527,1.663822,24.08105,1000.795,0,49.68349,25.32334,26.00028,26.12599,25.63993,24.35295,24.04067,23.88538,95.65443,93.14674,94.48122,96.67945,96.77103,99.26392,1.3825,63.09891,0.6341099,0.7389899,0.03312,108.6197,-5.217748,-5.239591,-5.237406,-5.436177,-5.56232,-5.624027,362.9283,364.3481,383.058,423.5631,460.2935,470.1161
"2023-08-01 04:30:00",33,-1.496623,0.2867832,-29.46851,-2.542528,0,0,-28.70939,2.084755,2.050626,23.76877,1000.864,0,49.63017,24.95561,25.25995,25.20904,24.91581,24.04351,23.98776,23.91154,96.03071,94.06853,95.50283,96.64248,96.59669,99.26506,1.811,48.70992,0.78246,0.7645199,0.06969,98.07293,-4.87372,-5.276724,-5.324233,-5.508259,-5.662798,-5.594539,368.3686,388.1161,393.7611,434.785,463.7406,441.8088
"2023-08-01 05:00:00",34,-1.37813,0.9109643,-35.5945,-0.6882076,0,0,-37.19539,1.558589,1.88851,23.75938,1001.204,0,49.58459,24.51824,24.77076,25.02673,24.91581,24.03384,24.00341,23.86604,97.50597,94.82792,95.55061,96.75283,96.90955,99.26478,2.035167,115.833,1.19715,1.08744,0.14145,123.9721,-4.992764,-5.328601,-5.352082,-5.330239,-5.527372,-5.515358,397.6382,385.3174,392.5324,402.8328,439.215,431.843
"2023-08-01 05:30:00",35,-0.6802883,0.9404854,-26.35658,-1.812284,0,0,-26.16507,1.09215,1.70364,24.03498,1001.226,0,49.55332,25.08896,25.38111,25.68856,25.33788,24.14561,24.12741,23.92889,91.88651,89.93287,92.83389,96.41154,96.92007,99.26791,2.133,103.466,1.27926,1.23234,0.23736,91.39371,-4.987304,-5.373379,-5.352628,-5.345529,-5.644778,-5.76546,380.9966,405.5426,402.3481,410.3072,473.5904,472.2458
"2023-08-01 06:00:00",36,-0.8865765,0.9447125,-36.57891,-2.798737,0.8532422,0.04266211,-35.61147,2.1843,2.127417,23.64903,1001.542,0,49.49707,25.18064,25.53555,25.7517,25.44254,24.3703,24.04123,23.96928,90.64077,86.86461,88.44709,91.75397,95.77928,99.26193,2.258499,148.7551,1.40001,1.1937,0.16905,173.6967,-5.129829,-5.316041,-5.235221,-5.364642,-5.364095,-5.353174,390.7713,386.6621,382.7645,420.5392,417.9932,417.6519
"2023-08-01 06:30:00",37,14.87869,3.39928,-42.09385,-2.859912,32.66496,3.071672,-27.75454,16.20591,13.5182,23.3959,1001.653,0,49.52295,24.86272,25.12571,25.40784,25.19738,23.998,23.84158,23.79351,94.4067,90.01706,89.9488,93.05943,95.68401,99.25938,1.8275,109.8642,0.8004,0.63894,0,0,-5.249966,-5.294198,-5.324232,-5.411058,-5.425802,-5.388123,390.157,402.0955,408.471,412.7645,416,417.8566
